Priority,Partition,SentTime,ReceivedTime,TimeSpent,PayloadSize
high,9,2024-02-09 14:28:27.878 +0000 GMT,2024-02-09 14:28:27.910865 +0000 GMT m=+10.437236698,32,83
high,9,2024-02-09 14:28:27.878 +0000 GMT,2024-02-09 14:28:27.911509 +0000 GMT m=+10.437880089,33,83
high,9,2024-02-09 14:28:27.879 +0000 GMT,2024-02-09 14:28:27.911877 +0000 GMT m=+10.438248148,32,83
high,9,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.912014 +0000 GMT m=+10.438385526,32,83
high,9,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.912165 +0000 GMT m=+10.438536793,32,83
high,9,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.912304 +0000 GMT m=+10.438675197,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.912409 +0000 GMT m=+10.438779990,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.912509 +0000 GMT m=+10.438880891,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.912611 +0000 GMT m=+10.438982919,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.912705 +0000 GMT m=+10.439076685,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.912837 +0000 GMT m=+10.439208562,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.91297 +0000 GMT m=+10.439341248,31,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913079 +0000 GMT m=+10.439450523,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913173 +0000 GMT m=+10.439544680,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.91329 +0000 GMT m=+10.439661503,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913401 +0000 GMT m=+10.439772831,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913502 +0000 GMT m=+10.439873868,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.9136 +0000 GMT m=+10.439971333,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913693 +0000 GMT m=+10.440064906,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913792 +0000 GMT m=+10.440163532,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913897 +0000 GMT m=+10.440267961,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.913994 +0000 GMT m=+10.440365157,32,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914088 +0000 GMT m=+10.440459324,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914192 +0000 GMT m=+10.440563698,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914333 +0000 GMT m=+10.440704019,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914459 +0000 GMT m=+10.440830535,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914596 +0000 GMT m=+10.440967140,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914719 +0000 GMT m=+10.441090518,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914817 +0000 GMT m=+10.441188273,33,83
high,9,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.914917 +0000 GMT m=+10.441288044,33,83
medium,3,2024-02-09 14:28:27.878 +0000 GMT,2024-02-09 14:28:27.918564 +0000 GMT m=+10.444936253,40,83
medium,3,2024-02-09 14:28:27.879 +0000 GMT,2024-02-09 14:28:27.918806 +0000 GMT m=+10.445177734,39,83
medium,3,2024-02-09 14:28:27.879 +0000 GMT,2024-02-09 14:28:27.918922 +0000 GMT m=+10.445293178,39,83
medium,3,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.919023 +0000 GMT m=+10.445394243,39,83
medium,3,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.919113 +0000 GMT m=+10.445484103,39,83
medium,3,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.919207 +0000 GMT m=+10.445577981,39,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.919334 +0000 GMT m=+10.445705407,38,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.91947 +0000 GMT m=+10.445841274,38,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.919571 +0000 GMT m=+10.445942071,38,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.919737 +0000 GMT m=+10.446108382,38,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.919857 +0000 GMT m=+10.446228229,38,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.920096 +0000 GMT m=+10.446467205,39,83
