Topic,Priority,Service,SentTime,ReceivedTime,TimeSpent,PayloadSize
create_account,LOW_PRIORITY_PARTITION,account,2024-04-08 00:22:46.787 +0100 BST,2024-04-08 00:22:46.796936 +0100 BST m=+20.595653035,9,168
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-04-08 00:22:55.503 +0100 BST,2024-04-08 00:22:55.51253 +0100 BST m=+29.311225378,9,51
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-04-08 00:23:06.583 +0100 BST,2024-04-08 00:23:06.592513 +0100 BST m=+40.391180965,9,288
create_account,LOW_PRIORITY_PARTITION,account,2024-04-08 00:23:41.949 +0100 BST,2024-04-08 00:23:41.959543 +0100 BST m=+75.758122985,10,168
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-04-08 00:23:45.14 +0100 BST,2024-04-08 00:23:45.148786 +0100 BST m=+78.947357698,8,51
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-04-08 00:23:55.604 +0100 BST,2024-04-08 00:23:55.614758 +0100 BST m=+89.413304502,10,288
create_account,LOW_PRIORITY_PARTITION,account,2024-04-08 00:24:19.542 +0100 BST,2024-04-08 00:24:19.5503 +0100 BST m=+113.348786544,8,168
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-04-08 00:24:23.133 +0100 BST,2024-04-08 00:24:23.142147 +0100 BST m=+116.940625088,9,51
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-04-08 00:24:31.405 +0100 BST,2024-04-08 00:24:31.414114 +0100 BST m=+125.212571840,9,288
create_account,LOW_PRIORITY_PARTITION,account,2024-04-08 00:24:44.342 +0100 BST,2024-04-08 00:24:44.350615 +0100 BST m=+138.149040928,8,178
account_deposit,MEDIUM_PRIORITY_PARTITION,account,2024-04-08 00:24:51.349 +0100 BST,2024-04-08 00:24:51.359524 +0100 BST m=+145.157931903,10,53
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-04-08 00:24:59.617 +0100 BST,2024-04-08 00:24:59.626684 +0100 BST m=+153.425071514,9,289
